value_id,attribute_id,store_id,row_id,entity,value,brand-name,category_id,brand-name,QUERRY
26117,157,0,88,56,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,56);"
26126,157,0,99,67,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,67);"
26127,157,0,100,68,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,68);"
1311,157,0,105,73,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,73);"
1321,157,0,106,74,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,74);"
1331,157,0,107,75,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,75);"
1341,157,0,108,76,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,76);"
1510,157,0,117,85,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,85);"
1520,157,0,118,86,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,86);"
1530,157,0,119,87,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,87);"
1540,157,0,120,88,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,88);"
1550,157,0,121,89,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,89);"
1559,157,0,122,90,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,90);"
1569,157,0,123,91,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,91);"
1579,157,0,124,92,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,92);"
1589,157,0,125,93,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,93);"
1599,157,0,126,94,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,94);"
1609,157,0,127,95,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,95);"
1619,157,0,128,96,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,96);"
1629,157,0,129,97,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,97);"
1639,157,0,130,98,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,98);"
1648,157,0,131,99,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,99);"
1658,157,0,132,100,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,100);"
1668,157,0,133,101,18,BOMBER,281,BOMBER,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (281,101);"
136007,157,0,141,109,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,109);"
136008,157,0,142,110,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,110);"
136009,157,0,143,111,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,111);"
136010,157,0,144,112,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,112);"
136011,157,0,145,113,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,113);"
136012,157,0,146,114,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,114);"
136013,157,0,147,115,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,115);"
136014,157,0,148,116,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,116);"
136015,157,0,166,134,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,134);"
136016,157,0,167,135,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,135);"
136017,157,0,168,136,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,136);"
2053,157,0,169,137,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,137);"
2063,157,0,170,138,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,138);"
2073,157,0,171,139,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,139);"
2083,157,0,172,140,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,140);"
2093,157,0,173,141,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,141);"
2103,157,0,174,142,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,142);"
2113,157,0,175,143,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,143);"
24843,157,0,176,144,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,144);"
24844,157,0,177,145,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,145);"
24845,157,0,178,146,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,146);"
24846,157,0,179,147,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,147);"
2162,157,0,180,148,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,148);"
2172,157,0,181,149,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,149);"
2182,157,0,182,150,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,150);"
2192,157,0,183,151,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,151);"
