"value","attribute_id","store_id","row_id","parent_id","row_id","entity_id"
"BOMBER SALTWATER","45","0","279","277","279","279"
"RAPALA","45","0","280","277","280","280"
"BOMBER","45","0","281","277","281","281"
"13 FISHING","45","0","282","277","282","282"
"ABU GARCIA","45","0","283","277","283","283"
"ARBOGAST","45","0","284","277","284","284"
"BOOYAH","45","0","285","277","285","285"
"COTTON CORDELL","45","0","286","277","286","286"
"HEDDON","45","0","287","277","287","287"
"NORMAN","45","0","288","277","288","288"
"REBEL","45","0","289","277","289","289"
"YUM","45","0","290","277","290","290"
"YUM F2","45","0","291","277","291","291"
"SHIMANO CARRETES","45","0","292","277","292","292"
"DAIWA","45","0","293","277","293","293"
"OKUMA","45","0","294","277","294","294"
"BERKLEY","45","0","295","277","295","295"
"LIVINGSTON","45","0","296","277","296","296"
"LUCK E STRIKE","45","0","297","277","297","297"
"LUCKY CRAFT","45","0","298","277","298","298"
"MIRROLURE","45","0","299","277","299","299"
"STORM","45","0","300","277","300","300"
"STRIKE KING","45","0","301","277","301","301"
"WILLIAMSON","45","0","302","277","302","302"
"YOZURI","45","0","303","277","303","303"
"ZOOM","45","0","304","277","304","304"
"SHIMANO CAÑAS","45","0","305","277","305","305"
"AFTCO APPAREL","45","0","306","277","306","306"
" BIGFISH GEAR","45","0","307","277","307","307"
" GUY HARVEY","45","0","308","277","308","308"
"BASSQS","45","0","309","277","309","309"
"GENE LAREW","45","0","310","277","310","310"
"MANNS","45","0","311","277","311","311"
"BASS ASSASSIN","45","0","312","277","312","312"
"TAP BAITS","45","0","313","277","313","313"
" TRIGGER X","45","0","314","277","314","314"
"YAMAMOTO","45","0","315","277","315","315"
"PENN","45","0","316","277","316","316"
"BAGLEY","45","0","317","277","317","317"
"BILL LEWIS","45","0","318","277","318","318"
" CREEK CHUB","45","0","319","277","319","319"
"HALCO","45","0","320","277","320","320"
"LIVE TARGET","45","0","321","277","321","321"
"RIVER2SEA","45","0","322","277","322","322"
"SEBILE","45","0","323","277","323","323"
"SHIMANO LURES","45","0","324","277","324","324"
"BOONE","45","0","325","277","325","325"
"C&H LURES","45","0","326","277","326","326"
"MOLDCRAFT","45","0","327","277","327","327"
"7 STRAND","45","0","328","277","328","328"
"ILAND LURES","45","0","329","277","329","329"
"JIMMY JIGS","45","0","330","277","330","330"
"KISTLER","45","0","331","277","331","331"
"RIO PRODUCTS","45","0","332","277","332","332"
"SAGE","45","0","333","277","333","333"
"DELTA MCKENZIE","45","0","334","277","334","334"
" GT ICECREAM","45","0","335","277","335","335"
"JOHNSON","45","0","336","277","336","336"
"LUHR JENSEN","45","0","337","277","337","337"
"ROBERTS LURES","45","0","338","277","338","338"
"FLAMBEAU","45","0","339","277","339","339"
